"accession" "Gene.Name" "Protein.Name" "Organism.Source" "Taxonomy" "Gene.Name.description" "Pe" "SV"
"HBB" "P02081" "HBB" "Hemoglobin fetal subunit beta" "Bos taurus" "9913" NA "1" "1"
"ALB" "P02769" "ALB" "Albumin" "Bos taurus" "9913" "ALB" "1" "4"
"HBA" "P01966" "HBA" "Hemoglobin subunit alpha" "Bos taurus" "9913" "HBA" "1" "2"
"APOA1" "P15497" "APOA1" "Apolipoprotein A-I" "Bos taurus" "9913" "APOA1" "1" "3"
"TF" "Q29443" "TF" "Serotransferrin" "Bos taurus" "9913" "TF" "2" "1"
"C3" "Q2UVX4" "C3" "Complement C3" "Bos taurus" "9913" "C3" "1" "2"
"SeRPINA3-1" "Q9TTe1" "SeRPINA3-1" "Serpin A3-1" "Bos taurus" "9913" "SeRPINA3-1" "1" "3"
"AHSG" "P12763" "AHSG" "Alpha-2-HS-glycoprotein" "Bos taurus" "9913" "AHSG" "1" "2"
"SeRPINA1" "P34955" "SeRPINA1" "Alpha-1-antiproteinase" "Bos taurus" "9913" "SeRPINA1" "1" "1"
"SeRPINA3-2" "A2I7M9" "SeRPINA3-2" "Serpin A3-2" "Bos taurus" "9913" "SeRPINA3-2" "3" "1"
"APOA2" "P81644" "APOA2" "Apolipoprotein A-II" "Bos taurus" "9913" "APOA2" "1" "2"
"SeRPINA3-7" "A2I7N3" "SeRPINA3-7" "Serpin A3-7" "Bos taurus" "9913" "SeRPINA3-7" "3" "1"
"KRT7" "Q29S21" "KRT7" "Keratin, type II cytoskeletal 7" "Bos taurus" "9913" "KRT7" "2" "1"
"KRT5" "Q5XQN5" "KRT5" "Keratin, type II cytoskeletal 5" "Bos taurus" "9913" "KRT5" "1" "1"
"HSPA8" "P19120" "HSPA8" "Heat shock cognate 71 kDa protein" "Bos taurus" "9913" "HSPA8" "1" "2"
"KRT75" "Q08D91" "KRT75" "Keratin, type II cytoskeletal 75" "Bos taurus" "9913" "KRT75" "2" "1"
"APOC2" "P19034" "APOC2" "Apolipoprotein C-II" "Bos taurus" "9913" "APOC2" "1" "2"
"H4" "P62803" "H4" "Histone H4" "Bos taurus" "9913" NA "1" "2"
"TGM3" "A6QP57" "TGM3" "Protein-glutamine gamma-glutamyltransferase e" "Bos taurus" "9913" "TGM3" "2" "1"
"S100A9" "P28783" "S100A9" "Protein S100-A9" "Bos taurus" "9913" "S100A9" "1" "3"
"CAPN1" "Q27970" "CAPN1" "Calpain-1 catalytic subunit" "Bos taurus" "9913" "CAPN1" "1" "3"
"AFP" "Q3SZ57" "AFP" "Alpha-fetoprotein" "Bos taurus" "9913" "AFP" "2" "1"
"TTR" "O46375" "TTR" "Transthyretin" "Bos taurus" "9913" "TTR" "1" "1"
"ACTA1" "P68138" "ACTA1" "Actin, alpha skeletal muscle" "Bos taurus" "9913" "ACTA1" "1" "1"
"GC" "Q3MHN5" "GC" "Vitamin D-binding protein" "Bos taurus" "9913" "GC" "2" "1"
"AGT" "P01017" "AGT" "Angiotensinogen" "Bos taurus" "9913" "AGT" "1" "2"
"MDH1B" "A3KMX7" "MDH1B" "Putative malate dehydrogenase 1B" "Bos taurus" "9913" "MDH1B" "2" "1"
"TUBA1D" "Q2HJ86" "TUBA1D" "Tubulin alpha-1D chain" "Bos taurus" "9913" "TUBA1D" "1" "1"
"A2M" "Q7SIH1" "A2M" "Alpha-2-macroglobulin" "Bos taurus" "9913" "A2M" "1" "2"
"HPX" "Q3SZV7" "HPX" "Hemopexin" "Bos taurus" "9913" "HPX" "2" "1"
"SeRPINA5" "Q9N2I2" "SeRPINA5" "Plasma serine protease inhibitor" "Bos taurus" "9913" "SeRPINA5" "1" "1"
"ACTB" "P60712" "ACTB" "Actin, cytoplasmic 1" "Bos taurus" "9913" "ACTB" "1" "1"
"F2" "P00735" "F2" "Prothrombin" "Bos taurus" "9913" "F2" "1" "2"
"KNG1" "P01044" "KNG1" "Kininogen-1" "Bos taurus" "9913" "KNG1" "1" "1"
"eNO1" "Q9XSJ4" "eNO1" "Alpha-enolase" "Bos taurus" "9913" "eNO1" "1" "4"
"DSG1" "Q03763" "DSG1" "Desmoglein-1" "Bos taurus" "9913" "DSG1" "1" "1"
"SeRPINC1" "P41361" "SeRPINC1" "Antithrombin-III" "Bos taurus" "9913" "SeRPINC1" "1" "2"
"PROS1" "P07224" "PROS1" "Vitamin K-dependent protein S" "Bos taurus" "9913" "PROS1" "1" "1"
"TUBA4A" "P81948" "TUBA4A" "Tubulin alpha-4A chain" "Bos taurus" "9913" "TUBA4A" "1" "2"
"TBA1B " "P81947" "TBA1B " "Tubulin alpha-1B chain" "Bos taurus" "9913" NA "1" "2"
"H2BC12" "Q2M2T1" "H2BC12" "Histone H2B type 1" "Bos taurus" "9913" NA "1" "2"
"A1BG" "Q2KJF1" "A1BG" "Alpha-1B-glycoprotein" "Bos taurus" "9913" "A1BG" "1" "1"
"GSN" "Q3SX14" "GSN" "Gelsolin" "Bos taurus" "9913" "GSN" "2" "1"
"FeTUB" "Q58D62" "FeTUB" "Fetuin-B" "Bos taurus" "9913" "FeTUB" "1" "1"
"CFL1" "Q5e9F7" "CFL1" "Cofilin-1" "Bos taurus" "9913" "CFL1" "2" "3"
"GAPDH" "P10096" "GAPDH" "Glyceraldehyde-3-phosphate dehydrogenase" "Bos taurus" "9913" "GAPDH" "1" "4"
"ORM1" "Q3SZR3" "ORM1" "Alpha-1-acid glycoprotein" "Bos taurus" "9913" "ORM1" "2" "1"
"ITIH4" "Q3T052" "ITIH4" "Inter-alpha-trypsin inhibitor heavy chain H4" "Bos taurus" "9913" "ITIH4" "1" "1"
"SeRPINF2" "P28800" "SeRPINF2" "Alpha-2-antiplasmin" "Bos taurus" "9913" "SeRPINF2" "1" "2"
"FGB" "P02676" "FGB" "Fibrinogen beta chain" "Bos taurus" "9913" "FGB" "1" "2"
"CFB" "P81187" "CFB" "Complement factor B" "Bos taurus" "9913" "CFB" "1" "2"
"RBP4" "P18902" "RBP4" "Retinol-binding protein 4" "Bos taurus" "9913" "RBP4" "1" "1"
"SeRPINF1" "Q95121" "SeRPINF1" "Pigment epithelium-derived factor" "Bos taurus" "9913" "SeRPINF1" "1" "1"
"SeRPINA3-4" "A2I7N0" "SeRPINA3-4" "Serpin A3-4" "Bos taurus" "9913" "SeRPINA3-4" "3" "1"
"AMBP" "P00978" "AMBP" "Protein AMBP" "Bos taurus" "9913" "AMBP" "1" "2"
"AFM" "G3MYZ3" "AFM" "Afamin" "Bos taurus" "9913" "AFM" "1" "1"
"C4" "P01030" "C4" "Complement C4 (Fragment)" "Bos taurus" "9913" "C4" "1" "2"
"SPP2" "Q27967" "SPP2" "Secreted phosphoprotein 24" "Bos taurus" "9913" "SPP2" "1" "2"
"APOA4" "Q32PJ2" "APOA4" "Apolipoprotein A-IV" "Bos taurus" "9913" "APOA4" "2" "1"
"GALK1" "A6H768" "GALK1" "Galactokinase" "Bos taurus" "9913" "GALK1" "2" "2"
"SeRPINA7" "Q9TT36" "SeRPINA7" "Thyroxine-binding globulin" "Bos taurus" "9913" "SeRPINA7" "2" "1"
"LUM" "Q05443" "LUM" "Lumican" "Bos taurus" "9913" "LUM" "1" "1"
"F5" "Q28107" "F5" "Coagulation factor V" "Bos taurus" "9913" "F5" "1" "1"
"eeF1A1" "P68103" "eeF1A1" "elongation factor 1-alpha 1" "Bos taurus" "9913" "eeF1A1" "1" "1"
"F12AI" "P50448" "F12AI" "Factor XIIa inhibitor" "Bos taurus" "9913" NA "1" "1"
"ADIPOQ" "Q3Y5Z3" "ADIPOQ" "Adiponectin" "Bos taurus" "9913" "ADIPOQ" "1" "1"
"SeRPINA3-8" "A6QPQ2" "SeRPINA3-8" "Serpin A3-8" "Bos taurus" "9913" "SeRPINA3-8" "2" "1"
"MBL" "O02659" "MBL" "Mannose-binding protein C" "Bos taurus" "9913" "MBL" "2" "1"
"ARF3" "Q5e9I6" "ARF3" "ADP-ribosylation factor 3" "Bos taurus" "9913" "ARF3" "2" "3"
"ITIH3" "P56652" "ITIH3" "Inter-alpha-trypsin inhibitor heavy chain H3" "Bos taurus" "9913" "ITIH3" "1" "2"
"PGLYRP1" "Q8SPP7" "PGLYRP1" "Peptidoglycan recognition protein 1" "Bos taurus" "9913" "PGLYRP1" "1" "1"
"CSN1S1" "P02662" "CSN1S1" "Alpha-S1-casein" "Bos taurus" "9913" "CSN1S1" "1" "2"
