"Au_4h_D240_1" "Au_4h_D240_bis_2" "Au_4h_D240_3" "PEG_4h_D240_bis_5" "PEG_4h_D240_bis_6" "PEG_4h_D240_7" "Au_24h_D240_10" "Au_24h_D240_11" "Au_24h_D238_12" "PEG_24h_D240_13" "PEG_24h_D240_15" "PEG_24h_D240_16"
"HBB" 8.099133 7.1283054 8.099133 5.8233867 8.375619 7.8104887 2.6812897 4.2119465 5.6221647 6.8886003 7.8104887 5.8233867
"ALB" 7.2794228 6.852356 7.6896048 5.9502425 6.816278 7.2794228 4.4450264 5.3973484 4.47016 7.016782 7.550667 6.852356
"HBA" 7.2224274 6.585776 5.9984202 5.7764144 5.9984202 5.9984202 4.2239623 5.053408 6.3451385 5.9984202 5.9984202 5.251727
"APOA1" 5.8233867 4.5847015 5.652732 3.1209755 5.5313053 5.9502425 1.4888573 1.9376497 1.9648314 5.4268775 6.3113914 4.9429216
"TF" 5.382635 4.970352 5.9342575 4.4450264 5.137621 5.8865237 2.4514372 3.518559 2.1841977 5.2805843 5.8865237 5.1801643
"C3" 4.1168184 3.8752851 3.9888449 2.365116 3.3954163 3.5919795 1.3933158 1.5468302 1.7289777 3.4055486 3.8194785 3.8528848
"SeRPINA3-1" 3.3853064 2.3189442 2.4119291 2.3189442 2.3884413 2.4119291 1.7542286 3.14954 1.5468302 2.3189442 2.3884413 2.3884413
"AHSG" 3.3451023 3.3451023 3.3451023 2.5645113 3.3451023 3.3451023 2.0902956 2.6307805 2.0338912 3.3451023 3.3451023 3.4565625
"SeRPINA1" 2.7153523 2.491403 2.775722 2.2658782 2.4197948 2.1768744 1.5644841 2.250873 1.4945948 2.8194427 2.8370724 2.5727282
"SeRPINA3-2" 2.3884413 2.3189442 2.4119291 2.3189442 2.3884413 2.4119291 1.7542286 2.2062693 1.5468302 2.3189442 2.3884413 2.3884413
"APOA2" 1.2908678 0.81970084 0.86208713 2.1622777 1.2908678 1.2908678 1.4547088 1.5118864 1.4547088 2.8904512 1.2908678 0.86208713
"SeRPINA3-7" 1.2646441 1.6001594 1.3550494 0.9815271 1.0276828 1.3014419 0.48936105 1.1777098 0.54525447 0.9633602 1.2646441 1.7039585
"KRT7" 0.31219995 0.32434154 0.39315677 0.2133888 0.59220874 0.34586036 0.11943793 0.17219532 0.11943793 0.40604758 0.42889392 0.2133888
"KRT5" 1.1428905 1.0370419 0.9724227 0.38995266 1.1527817 1.2594359 0.09144032 NA 0.42889392 0.8407719 1.084491 0.7021586
